#symbol_id,symbol_value,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
SPY R735QTJ8XC9X,SPY,476.4700,477.0200,473.3150,475.3100,96706712,,,,,,,
SPY YETAUP0L4STI|SPY R735QTJ8XC9X,SPY   240102C00402000,74.5000,75.7850,71.5100,73.5200,1,,0.6225652,0.9990582,0.0001866,0.0015352,-0.0097524,-0.0007456
SPY YEUAASDR7JZA|SPY R735QTJ8XC9X,SPY   240103C00402000,74.6900,75.8650,71.6300,73.6350,8,,0.5390879,0.9992449,0.0001939,0.0014585,-0.0055175,-0.0006899
SPY YETAUP0R34VA|SPY R735QTJ8XC9X,SPY   240102C00403000,73.5000,74.7850,70.5400,72.5400,0,,0.6140000,0.9990404,0.0001911,0.0015516,-0.0107077,-0.0007402
SPY YEUAASDX5W12|SPY R735QTJ8XC9X,SPY   240103C00403000,73.5900,74.8650,70.6350,72.6250,0,,0.5500093,0.9986411,0.0002501,0.0021631,-0.0108552,-0.0010937
SPY YETAUP0X1GX2|SPY R735QTJ8XC9X,SPY   240102C00404000,72.5000,73.7800,69.5200,71.5350,0,1,0.6052588,0.9990271,0.0001953,0.0015642,-0.0113485,-0.0007372
SPY YEUAASE3482U|SPY R735QTJ8XC9X,SPY   240103C00404000,72.6850,73.8650,69.6550,71.6300,8,,0.5241112,0.9992114,0.0002023,0.0015033,-0.0064616,-0.0006820
SPY YETAUP12ZSYU|SPY R735QTJ8XC9X,SPY   240102C00405000,71.5000,72.7850,68.5550,70.5400,8,,0.5961598,0.9990230,0.0001989,0.0015696,-0.0113716,-0.0007268
SPY YEUAASE92K4M|SPY R735QTJ8XC9X,SPY   240103C00405000,71.6000,72.8700,68.5850,70.6450,10,,0.5166274,0.9991950,0.0002078,0.0015250,-0.0069180,-0.0006887
SPY YETAUP18Y50M|SPY R735QTJ8XC9X,SPY   240102C00406000,70.5000,71.7800,67.5500,69.5450,5,,0.5877552,0.9990020,0.0002047,0.0015896,-0.0125101,-0.0007239
SPY YEUAASEF0W6E|SPY R735QTJ8XC9X,SPY   240103C00406000,70.6900,71.8700,67.6250,69.6500,6,,0.5088669,0.9991881,0.0002122,0.0015362,-0.0070462,-0.0006788
SPY YETAUP1EWH2E|SPY R735QTJ8XC9X,SPY   240102C00407000,69.5000,70.7850,66.5500,68.5500,14,,0.5793580,0.9989810,0.0002107,0.0016087,-0.0129474,-0.0007251
SPY YEUAASEKZ886|SPY R735QTJ8XC9X,SPY   240103C00407000,69.6900,70.8700,66.6050,68.6450,12,1,0.5016151,0.9991663,0.0002189,0.0015658,-0.0073815,-0.0006749
SPY YETAUP1KUT46|SPY R735QTJ8XC9X,SPY   240102C00408000,68.5000,69.7850,65.5250,67.5550,8,,0.5708631,0.9989624,0.0002165,0.0016252,-0.0128765,-0.0007338
SPY YEUAASEQXK9Y|SPY R735QTJ8XC9X,SPY   240103C00408000,68.6900,69.8700,65.6000,67.6350,0,,0.4943122,0.9991460,0.0002256,0.0015929,-0.0073707,-0.0007211
