#expiry,strike,right,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,470.5000,471.1800,468.1700,468.7900,90315933,,,,,,,
20240104,402,C,70.9600,70.9600,66.0550,66.8950,0,1,0.0000001,1,0,0,0,0
20240104,403,C,69.9200,69.9200,65.0600,65.8600,0,,0.0000001,1,0,0,0,0
20240104,404,C,68.9200,68.9200,64.0600,64.8700,0,,0.0000001,1,0,0,0,0
20240104,405,C,67.8950,67.8950,63.0600,63.8750,0,,0.0000001,1,0,0,0,0
20240104,406,C,66.9300,66.9300,62.0650,62.8550,0,,0.0000001,1,0,0,0,0
20240104,407,C,65.9250,65.9250,61.0350,61.9600,0,,0.0000001,1,0,0,0,0
20240104,408,C,64.9500,64.9500,60.0550,60.8650,0,1,0.0000001,1,0,0,0,0
20240104,409,C,63.9600,63.9600,59.0650,60.0200,0,,0.0000001,1,0,0,0,0
20240104,410,C,62.9650,62.9650,58.0700,58.9850,0,,0.0000001,1,0,0,0,0
20240104,411,C,61.9300,61.9300,57.0600,57.9550,0,1,0.0000001,1,0,0,0,0
20240105,402,C,70.9800,70.9800,66.2000,67.0550,0,2,0.9961277,0.9986427,0.0002028,0.0011969,-0.0564078,-0.0004561
20240105,403,C,69.9750,69.9750,65.1300,65.9800,0,1,0.9811561,0.9986254,0.0002084,0.0012009,-0.0557766,-0.0004520
20240105,404,C,68.9850,68.9850,64.1300,64.9900,0,6,0.9662217,0.9986076,0.0002143,0.0012049,-0.0551323,-0.0004477
20240105,405,C,67.9800,67.9800,63.1350,63.9900,0,2,0.9513244,0.9985892,0.0002204,0.0012091,-0.0544908,-0.0004408
20240105,406,C,66.9650,66.9650,62.1350,62.9700,1,1,0.9364639,0.9985704,0.0002267,0.0012133,-0.0538141,-0.0004393
20240105,407,C,65.9700,65.9700,61.1300,62.0150,0,2,0.9216401,0.9985510,0.0002334,0.0012173,-0.0531547,-0.0004358
20240105,408,C,65.0150,65.0150,60.1350,61.0300,0,,0.9068528,0.9985310,0.0002403,0.0012213,-0.0524903,-0.0004302
20240105,409,C,64.0250,64.0250,59.1350,60.0400,0,1,0.8921019,0.9985105,0.0002476,0.0012254,-0.0518212,-0.0004259
20240105,410,C,62.9550,62.9550,58.1250,59.0000,1,7,0.8773871,0.9984893,0.0002552,0.0012295,-0.0511404,-0.0004220
20240105,411,C,61.9900,61.9900,57.1350,58.0200,0,1,0.8627082,0.9984675,0.0002631,0.0012336,-0.0504563,-0.0004170
20240930,401,C,88.9300,88.9300,84.9950,85.7100,0,42,0.1906751,0.8395376,0.0033206,0.9109065,-0.0277559,-0.1929455
