#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V5E8P9SH0U0X,DC01H12,15.6,16.15,15.56,16.12,831,6149
DC V5E8P9SH0U0X,DC01H12,15.6,16.15,15.56,16.12,831,6149
DC V67S42RJBGU9,DC01J12,15.8,16.19,15.75,15.94,461,3908
DC V70C2SDFJCHT,DC30K12,15.96,16.28,15.93,16.12,300,3286
DC V8PDSL1WA4G1,DC31M12,16.29,16.35,16.12,16.26,56,2783
DC V7YSQ26C7R41,DC04M12,16.4,16.48,16.38,16.4,35,2189
DC V9GYB7AMF8XT,DC28Q12,16.59,16.61,16.55,16.58,22,2119
DC VAFEYH3J3NK1,DC02U12,16.6,16.68,16.58,16.61,34,1982
DC VB50KWLX39Q9,DC28V12,16.58,16.65,16.58,16.65,14,1707
DC VC5G4D55X6O1,DC04X12,16.45,16.5,16.41,16.47,22,1580
DC VCY032R252BL,DC02Z12,16.48,16.54,16.42,16.49,20,1560
DC VDOL5LMM7FNL,DC29F13,16.28,16.28,16.28,16.28,0,121
DC VEG5O7VCCK5D,DC26G13,16.31,16.45,16.31,16.325,0,80
DC VFEMBHO90YRL,DC02H13,16.03,16.19,15.9,16.1,0,20
DC VH4NHDPVUHVL,DC04K13,16.16,16.2,16.085,16.2,0,15
DC VHW7ZZYLZMDD,DC02M13,16.325,16.33,16.325,16.325,0,14
DC VINSIM7C4QV5,DC30N13,16.48,16.48,16.48,16.48,1,10
