#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V8PDSL1WA4G1,DC31M12,15.59,15.65,15.52,15.62,250,
DC V7YSQ26C7R41,DC04M12,16.17,16.33,15.86,15.96,325,
DC V9GYB7AMF8XT,DC28Q12,16,16.05,15.68,15.82,128,
DC VAFEYH3J3NK1,DC02U12,16.1,16.1,15.86,16.01,78,
DC VB50KWLX39Q9,DC28V12,16.1,16.12,16,16.12,9,
DC VC5G4D55X6O1,DC04X12,15.95,16.05,15.95,16,8,
DC VCY032R252BL,DC02Z12,16,16,15.95,15.95,5,
DC VDOL5LMM7FNL,DC29F13,15.95,15.99,15.95,15.98,10,
DC VEG5O7VCCK5D,DC26G13,15.58,15.58,15.58,15.58,1,
DC VFEMBHO90YRL,DC02H13,15.64,15.88,15.63,15.88,0,
DC VH4NHDPVUHVL,DC04K13,16.1,16.19,16.1,16.19,0,
DC VHW7ZZYLZMDD,DC02M13,16.05,16.05,16.05,16.05,4,
DC VINSIM7C4QV5,DC30N13,15.93,15.93,15.93,15.93,0,
