#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V5E8P9SH0U0X,DC01H12,15.62,16.12,15.52,16.08,303,5963
DC V67S42RJBGU9,DC01J12,15.78,15.88,15.65,15.75,191,3716
DC V70C2SDFJCHT,DC30K12,16.12,16.18,16,16.12,109,3106
DC V8PDSL1WA4G1,DC31M12,16.53,16.58,16.42,16.46,77,2658
DC V7YSQ26C7R41,DC04M12,16.66,16.71,16.64,16.65,33,2083
DC V9GYB7AMF8XT,DC28Q12,16.74,16.78,16.7,16.78,45,2018
DC VAFEYH3J3NK1,DC02U12,16.81,16.86,16.79,16.86,28,1930
DC VB50KWLX39Q9,DC28V12,16.83,16.83,16.75,16.83,19,1656
DC VC5G4D55X6O1,DC04X12,16.64,16.64,16.62,16.62,6,1543
DC VCY032R252BL,DC02Z12,16.68,16.68,16.68,16.68,2,1535
DC VDOL5LMM7FNL,DC29F13,16.54,16.54,16.5,16.5,2,122
DC VEG5O7VCCK5D,DC26G13,16.59,16.6,16.59,16.6,4,69
DC VFEMBHO90YRL,DC02H13,16.3,16.3,16.3,16.3,0,20
DC VH4NHDPVUHVL,DC04K13,16.36,16.36,16.36,16.36,0,15
DC VHW7ZZYLZMDD,DC02M13,16.40,16.415,16.325,16.325,0,14
DC VINSIM7C4QV5,DC30N13,16.375,16.375,16.365,16.365,0,9
