date,initial,maintenance
20090112,7425,6750
20090226,7425,6750
20090302,5775,5250
20090326,6325,5750
20090421,6325,5750
20090605,6325,5750
20090616,6325,5750
20090617,6325,5750
20090701,6325,5750
20090807,6325,5750
20090821,5775,5250
20090824,5775,5250
20090831,5775,5250
20090916,4950,4500
20091113,4400,4000
20091223,3850,3500
20100423,4125,3750
20100521,4125,3750
20110225,4950,4500
20110304,5500,5000
20110415,4675,4250
20110510,6875,6250
20110531,5500,5000
20110829,6600,6000
20111212,6160,5600
20120213,5610,5100
20120529,5060,4600
20120709,5610,5100
20120813,4675,4250
20130129,4950,4500
20130430,4510,4100
20131105,4070,3700
20131122,3740,3400
20140228,3410,3100
20140314,2145,1950
20140404,3190,2900
20140811,2970,2700
20141003,3245,2950
20141017,3740,3400
20141117,4070,3700
20141126,4235,3850
20141202,4895,4450
20150206,5390,4900
20150501,4675,4250
20150708,5060,4600
20160223,3850,3500
20160414,3740,3400
