date,initial,maintenance
20090108,4732.2,4302
20090122,4398.9,3999
20090821,3666.3,3333
20091215,4402.2,4002
20100212,5497.8,4998
20100302,5497.8,4998
20100430,4676.1,4251
20101001,4676.1,4251
20101116,4950,4500
20110121,5501.1,5001
20110204,5501.1,5001
20110620,4950,4500
20110811,6050,5500
20110825,7700,7000
20110926,9350,8500
20120213,8250,7500
20120529,7425,6750
20121120,7425,6750
20130102,6600,6000
20130212,5940,5400
20130416,7040,6400
20130621,8800,8000
20131122,7975,7250
20140404,7150,6500
20140516,6600,6000
20140604,6600,6000
20140714,5940,5400
20140822,5060,4600
20141010,4400,4000
20150522,4125,3750
20160212,4675,4250
20160226,4950,4500
20160627,6050,5500
20160701,6600,6000
20160811,6600,6000
