date,initial,maintenance
20090112,11002.2,10002
20090415,6600,6000
20090626,4950,4500
20090629,1100,1000
20100430,3850,3500
20100607,5500,5000
20100902,4125,3750
20101116,4950,4500
20110531,3850,3500
20111004,4950,4500
20111010,4950,4500
20120213,3850,3500
20120806,3300,3000
20120910,2970,2700
20130212,2585,2350
20130416,3080,2800
20130621,3465,3150
20140228,3025,2750
20140404,2750,2500
20140822,2310,2100
20141010,1980,1800
20141205,2200,2000
20150130,2420,2200
20150417,2090,1900
20160226,2310,2100
20160513,2640,2400
20170727,2090,1900
20170908,1760,1600
20171130,1925,1750
20180215,1760,1600
20180301,1650,1500
20180419,1870,1700
20180705,1650,1500
20180816,1870,1700
20181030,2090,1900
20190314,1870,1700
20190522,1650,1500
20190805,1870,1700
20190819,2090,1900
20191122,2420,2200
