date,initial,maintenance
20090112,7150,6500
20090130,6325,5750
20090226,3300,3000
20090302,5500,5000
20090330,4675,4250
20090429,5500,5000
20090505,5225,4750
20090526,4950,4500
20090619,5500,5000
20090624,5225,4750
20090821,4950,4500
20091014,5500,5000
20100319,4950,4500
20100723,4400,4000
20100823,3025,2750
20110114,3850,3500
20110408,3300,3000
20110429,2970,2700
20110725,3025,2750
20111010,2750,2500
20120117,2310,2100
20120213,2090,1900
20120709,2530,2300
20120807,2750,2500
20121120,2475,2250
20130129,2310,2100
20130416,2090,1900
20130507,2585,2350
20130618,1815,1650
20130729,1760,1600
20130903,2310,2100
20131227,1485,1350
20140103,2530,2300
20140117,1870,1700
20140124,2750,2500
20140127,3300,3000
20140129,3960,3600
20140131,5005,4550
20140205,5500,5000
20140220,6050,5500
20140228,5225,4750
20140307,4400,4000
20140314,3300,3000
20140421,3135,2850
20140530,2805,2550
20140613,3080,2800
20140729,2502.5,2275
20140926,2981,2710
20141107,3410,3100
20141117,1760,1600
20141118,4015,3650
20141202,4455,4050
20141229,2090,1900
20150109,2310,2100
20150116,2530,2300
20150130,4235,3850
20150219,3520,3200
20150320,2750,2500
20150402,2200,2000
20150522,1980,1800
20150710,2062.5,1875
20150729,2035,1850
20160223,2090,1900
20160411,1815,1650
20160630,1980,1800
20160708,2255,2050
20160730,2420,2200
20160831,2585,2350
20161206,2805,2550
20161214,3135,2850
20161223,3410,3100
20170224,2860,2600
20170301,2420,2200
20170405,2200,2000
20170429,2090,1900
20170711,1925,1750
20170729,1760,1600
20170831,1980,1800
20171102,2090,1900
20171115,2420,2200
20180224,1815,1650
20180302,1705,1550
20180308,1457.5,1325
20180428,1320,1200
20180920,1485,1350
20180928,1705,1550
20181002,1980,1800
20181006,2145,1950
20181107,2475,2250
20181110,2695,2450
20181114,3080,2800
20181119,4070,3700
20181117,5170,4700
20181123,6270,5700
20190104,5060,4600
20190108,3960,3600
20190115,4620,4200
20190118,5060,4600
20190205,3960,3600
20190212,3025,2750
20190226,2035,1850
20190404,1815,1650
20190501,1540,1400
20190628,1650,1500
20190709,1815,1650
20190820,1980,1800
20190912,2200,2000
20191010,2420,2200
20191017,2695,2450
20191205,2200,2000
20200104,1980,1800
20200117,1870,1700

