date,initial,maintenance
20040102,1148,850
20040407,1249,925
20040527,1148,850
20040624,945,700
20040730,810,600
20050125,743,550
20050805,675,500
20051205,540,400
20060516,473,350
20060606,540,400
20061108,608,450
20070301,743,550
20070424,608,450
20070730,743,550
20070816,878,650
20071108,810,600
20071127,945,700
20071217,1013,750
20090414,1430,1300
20090519,1100,1000
20091127,880,800
20101217,1045,950
20110328,1210,1100
20110621,770,700
20110725,990,900
20120117,825,750
20120203,715,650
20120907,605,550
20130621,743,675
20130702,880,800
20130716,990,900
20150206,880,800
20150213,990,900
20160408,880,800
20160627,990,900
20160729,880,800
20161103,935,850
20170428,825,750
20170526,770,700
20170818,688,625
20180105,616,560
20180531,704,640
20180605,748,680
20190108,814,740
20190315,759,690
20190503,682,620
20190605,726,660
20190802,825,750
20190808,880,800
20191115,770,700
20200303,847,770
20200310,935,850
20200312,1018,925
20200428,935,850
20200619,825,750
20200626,770,700
20200721,715,650
20201120,633,575
20210108,605,550
20210226,688,625
20210305,798,725
20210319,880,800
20210910,798,725
20211112,908,825
20211130,1018,925
