date,initial,maintenance
20120504,99000,90000
20130102,13830,12572
20130103,77000,70000
20130107,73180,66527
20130108,71861,65328
20130109,70518,64107
20130110,69149,62862
20130111,67752,61592
20130114,63376,57614
20130115,61848,56225
20130116,60283,54802
20130117,58674,53340
20130118,57021,51837
20130121,51747,47042
20130122,49863,45330
20130123,47908,43552
20130124,45868,41698
20130125,43733,39757
20130128,36590,33263
20130129,33876,30796
20130130,30925,28113
20130131,27660,25145
20130201,23954,21776
20130204,77000,70000
20130205,75613,68739
20130206,74200,67454
20130207,72759,66144
20130208,71288,64807
20130211,66685,60622
20130212,65078,59161
20130213,63430,57663
20130214,61738,56125
20130215,59999,54544
20130218,54447,49497
20130219,52467,47697
20130220,50409,45826
20130221,48263,43875
20130222,46017,41833
20130225,38500,35000
20130226,35645,32404
20130227,32538,29580
20130228,29104,26458
20130301,25205,22913
20130304,74475,67704
20130305,73180,66527
20130306,71861,65328
20130307,70518,64107
20130308,69149,62862
20130311,64867,58970
20130312,63376,57614
20130313,61848,56225
20130314,60283,54802
20130315,58674,53340
20130318,53563,48693
20130319,51747,47042
20130320,49863,45330
20130321,47908,43552
20130322,45868,41698
20130325,39116,35560
20130326,36590,33263
20130327,33876,30796
20130328,30925,28113
20130329,27660,25145
20130401,13830,12572
20130402,77000,70000
20130404,75706,68823
20130405,74389,67626
20130408,70292,63901
20130409,68871,62610
20130410,67422,61292
20130411,65939,59944
20130412,64423,58566
20130415,59645,54222
20130416,57964,52694
20130417,56234,51121
20130418,54447,49497
20130419,52601,47819
20130422,46626,42387
20130423,44457,40415
20130424,42176,38341
20130425,39763,36148
20130426,37195,33813
20130429,28116,25560
20130430,24350,22136
20130501,19882,18074
20130502,14058,12780
20130503,77000,70000
20130506,74475,67704
20130507,73180,66527
20130508,71861,65328
20130509,70518,64107
20130510,69149,62862
20130513,64867,58970
20130514,63376,57614
20130515,61848,56225
20130516,60283,54802
20130517,58674,53340
20130520,53563,48693
20130521,51747,47042
20130522,49863,45330
20130523,47908,43552
20130524,45868,41698
20130527,39116,35560
20130528,36590,33263
20130529,33876,30796
20130530,30925,28113
20130531,27660,25145
20130603,13830,12572
20130604,74389,67626
20130605,73049,66408
20130606,71683,65166
20130607,70292,63901
20130610,65939,59944
20130611,64423,58566
20130612,62871,57155
20130613,61279,55708
20130614,59645,54222
20130617,54447,49497
20130618,52601,47819
20130619,50688,46080
20130620,48700,44272
20130621,46626,42387
20130624,39763,36148
20130625,37195,33813
20130626,34436,31305
20130627,31435,28577
20130628,28116,25560
20130701,14058,12780
20130702,77000,70000
20130703,75749,68862
20130704,74475,67704
20130705,73180,66527
20130708,69149,62862
20130709,67752,61592
20130710,66325,60295
20130711,64867,58970
20130712,63376,57614
20130715,58674,53340
20130716,57021,51837
20130717,55318,50289
20130718,53563,48693
20130719,51747,47042
20130722,45868,41698
20130723,43733,39757
20130724,41489,37717
20130725,39116,35560
20130726,36590,33263
20130729,27660,25145
20130730,23954,21776
20130731,19558,17780
20130801,13830,12572
20130802,77000,70000
20130805,74475,67704
20130806,73180,66527
20130807,71861,65328
20130808,70518,64107
20130809,69149,62862
20130812,64867,58970
20130813,63376,57614
20130814,61848,56225
20130815,60283,54802
20130816,58674,53340
20130819,53563,48693
20130820,51747,47042
20130821,49863,45330
20130822,47908,43552
20130823,45868,41698
20130826,39116,35560
20130827,36590,33263
20130828,33876,30796
20130829,30925,28113
20130830,27660,25145
20130902,13830,12572
20130903,75706,68823
20130904,74389,67626
20130905,73049,66408
20130906,71683,65166
20130909,67422,61292
20130910,65939,59944
20130911,64423,58566
20130912,62871,57155
20130913,61279,55708
20130916,56234,51121
20130917,54447,49497
20130918,52601,47819
20130919,50688,46080
20130920,48700,44272
20130923,42176,38341
20130924,39763,36148
20130925,37195,33813
20130926,34436,31305
20130927,31435,28577
20130930,19882,18074
20131001,14058,12780
20131002,77000,70000
20131007,73180,66527
20131008,71861,65328
20131009,70518,64107
20131010,69149,62862
20131011,67752,61592
20131014,63376,57614
20131015,61848,56225
20131016,60283,54802
20131017,58674,53340
20131018,57021,51837
20131021,51747,47042
20131022,49863,45330
20131023,47908,43552
20131024,45868,41698
20131025,43733,39757
20131028,36590,33263
20131029,33876,30796
20131030,30925,28113
20131031,27660,25145
20131101,23954,21776
20131104,75706,68823
20131105,74389,67626
20131106,73049,66408
20131107,71683,65166
20131108,70292,63901
20131111,65939,59944
20131112,64423,58566
20131113,62871,57155
20131114,61279,55708
20131115,59645,54222
20131118,54447,49497
20131119,52601,47819
20131120,50688,46080
20131121,48700,44272
20131122,46626,42387
20131125,39763,36148
20131126,37195,33813
20131127,34436,31305
20131128,31435,28577
20131129,28116,25560
20131202,14058,12780
20131203,77000,70000
20131204,75749,68862
20131205,74475,67704
20131206,73180,66527
20131209,69149,62862
20131210,67752,61592
20131211,66325,60295
20131212,64867,58970
20131213,63376,57614
20131216,58674,53340
20131217,57021,51837
20131218,55318,50289
20131219,53563,48693
20131220,51747,47042
20131223,45868,41698
20131224,43733,39757
20131225,41489,37717
20131226,39116,35560
20131227,36590,33263
20131230,27660,25145
